gwas ave sd
pc1 2.68663897477e-05 1.33303479457417e-05
pc2 2.173953669775e-05 1.04417319706564e-05
pc3 2.1735975097e-05 1.0444098474734e-05
pc4 2.17219446727e-05 1.04435041187807e-05
pc5 2.17206685812e-05 1.04433516767596e-05
pc6 2.17189281291e-05 1.04438725474841e-05
pc7 2.17115004566e-05 1.04399032599244e-05
pc8 2.170853443835e-05 1.04394203536762e-05
pc9 2.170868232015e-05 1.04396578845653e-05
pc10 2.17033681064e-05 1.04361016111325e-05
pc20 2.165240216005e-05 1.04026533409666e-05
pc40 2.165031180795e-05 1.04029734334003e-05
good 1.00424244399568e-05 1.74455001865361e-07
bad 0.000340046350287365 0.000605860668846639
