code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.035918 0.003826 0.034385 0.003606 0.067767 0.005099 0.3635
bmi 0.138138 0.005269 0.124641 0.004671 0.253658 0.006978 0.17808
chron 0.059359 0.004162 0.048743 0.003702 0.104234 0.005362 0.30796
ever 0.039709 0.003911 0.039544 0.003706 0.076804 0.005213 0.37076
fvc 0.11263 0.004963 0.099592 0.004196 0.204746 0.006392 0.2066
height 0.29485 0.006825 0.265747 0.005971 0.541943 0.009199 0.07294
imp 0.153717 0.005747 0.139079 0.004777 0.282838 0.007316 0.1715
neur 0.063631 0.004445 0.058565 0.003919 0.11787 0.005732 0.29921
pulse 0.081409 0.004435 0.07635 0.004107 0.152573 0.005911 0.26863
quals 0.086634 0.004412 0.091545 0.004244 0.172141 0.00598 0.24118
reaction 0.035038 0.003886 0.037535 0.003629 0.070168 0.005175 0.37234
sbp 0.085253 0.00525 0.074555 0.004013 0.154007 0.006368 0.2625
snoring 0.033199 0.003758 0.034347 0.003609 0.065259 0.005066 0.37561
hyper 0.067159 0.004887 0.051637 0.003759 0.113951 0.00592 0.28794
