code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.075465 0.011632 0.075364 0.011594 0.079598 0.012246 0.000179999999999958
bmi 0.23745 0.023483 0.235189 0.023255 0.249467 0.024606 0
chron 0.015918 0.004197 0.016123 0.004239 0.016905 0.004436 0.02035
ever 0.43905 0.027673 0.434227 0.027351 0.460942 0.029045 0
fvc 2.279615 0.063486 2.236768 0.06228 2.38422 0.067335 0
height 0.405781 0.023212 0.401544 0.022777 0.426127 0.024466 0
imp 0.228011 0.014956 0.226838 0.014885 0.240058 0.015798 0
neur 0.12802 0.015244 0.129064 0.015206 0.135651 0.016035 9.99999999995449e-06
pulse 0.018174 0.003585 0.019065 0.003574 0.019636 0.003765 0.00258999999999998
quals 0.037428 0.005932 0.037848 0.005802 0.039717 0.006181 0.000290000000000012
reaction 0.959167 0.059488 0.950272 0.058962 1.00783 0.062579 0
sbp 0.064297 0.010555 0.064065 0.010476 0.067745 0.011093 0.000460000000000016
snoring 0.004229 0.000888 0.004991 0.000949 0.004852 0.000925 0.00314000000000003
hyper 0.174857 0.020197 0.172018 0.020003 0.183108 0.021173 0
