code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.03439 0.003783 0.030037 0.003495 0.062151 0.005028 0.37437
bmi 0.135164 0.00535 0.124409 0.004656 0.250723 0.006988 0.18565
chron 0.061295 0.004843 0.047606 0.004072 0.104362 0.006084 0.3021
ever 0.033501 0.003765 0.039665 0.003714 0.071019 0.005171 0.38534
fvc 0.097608 0.004832 0.10286 0.004644 0.193945 0.006521 0.24294
height 0.274252 0.006571 0.264423 0.005991 0.52156 0.009016 0.0868100000000001
imp 0.142096 0.005307 0.142337 0.004932 0.275611 0.007162 0.19412
neur 0.064294 0.005707 0.054954 0.004554 0.114857 0.007002 0.33262
pulse 0.083752 0.004881 0.077002 0.004312 0.154626 0.006362 0.24917
quals 0.084245 0.004278 0.089361 0.004284 0.167693 0.00594 0.24375
reaction 0.037151 0.003926 0.039787 0.003639 0.074578 0.005259 0.37478
sbp 0.085697 0.00522 0.073482 0.004256 0.153766 0.006536 0.28331
snoring 0.037807 0.004059 0.031814 0.003782 0.067003 0.005383 0.36632
hyper 0.05749 0.004463 0.046458 0.00366 0.100253 0.005565 0.32085
