code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.039617 0.003863 0.033862 0.003575 0.073351 0.005267 0.49372
bmi 0.136645 0.005217 0.126211 0.004693 0.262718 0.007162 0.49334
chron 0.059522 0.004157 0.048454 0.003665 0.107706 0.005493 0.48352
ever 0.041453 0.003931 0.043119 0.003763 0.084686 0.005439 0.50573
fvc 0.110484 0.004947 0.09979 0.004123 0.210091 0.006445 0.49274
height 0.294469 0.00677 0.263729 0.005931 0.557634 0.009378 0.4823
imp 0.153677 0.005652 0.141098 0.004839 0.294593 0.007547 0.49351
neur 0.063636 0.004459 0.056989 0.003915 0.120502 0.005927 0.49305
pulse 0.080505 0.004375 0.07573 0.004051 0.156198 0.006016 0.4971
quals 0.088084 0.004417 0.088719 0.004204 0.176951 0.006128 0.50613
reaction 0.033695 0.003888 0.037683 0.003611 0.071555 0.005304 0.50978
sbp 0.086061 0.005274 0.076392 0.004039 0.162266 0.006627 0.49393
snoring 0.034123 0.003755 0.033366 0.003597 0.067514 0.005219 0.50168
hyper 0.065235 0.004814 0.049174 0.003726 0.113986 0.006063 0.47994
