code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.032739 0.003658 0.033103 0.003562 0.067767 0.005099 0.60532
bmi 0.136524 0.005554 0.121902 0.004526 0.253658 0.006978 0.31704
chron 0.055163 0.003974 0.047967 0.003665 0.104234 0.005362 0.55786
ever 0.038277 0.003824 0.038775 0.003589 0.076804 0.005213 0.48621
fvc 0.107205 0.004575 0.100334 0.00414 0.204746 0.006392 0.37453
height 0.270774 0.006186 0.253952 0.005649 0.541943 0.009199 0.91709
imp 0.149116 0.006254 0.133604 0.004539 0.282838 0.007316 0.50366
neur 0.063593 0.004789 0.057093 0.003831 0.11787 0.005732 0.36743
pulse 0.078253 0.004205 0.072768 0.00398 0.152573 0.005911 0.57271
quals 0.083965 0.004276 0.090596 0.004098 0.172141 0.00598 0.38453
reaction 0.03488 0.003931 0.037574 0.003562 0.070168 0.005175 0.37856
sbp 0.085963 0.005955 0.073769 0.003947 0.154007 0.006368 0.27627
snoring 0.031317 0.003627 0.033221 0.003545 0.065259 0.005066 0.54149
hyper 0.06906 0.005368 0.051648 0.0037 0.113951 0.00592 0.22304
