code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.090239 0.013715 0.089525 0.013552 0.079598 0.012246 2.000000000002e-05
bmi 0.277729 0.027201 0.272893 0.026798 0.249467 0.024606 0
chron 0.020572 0.005065 0.020624 0.00504 0.016905 0.004436 0.00182000000000004
ever 0.532985 0.032788 0.524984 0.03231 0.460942 0.029045 0
fvc 2.782234 0.075658 2.734398 0.074332 2.38422 0.067335 0
height 0.526852 0.028995 0.525602 0.028566 0.426127 0.024466 0
imp 0.283307 0.017592 0.280665 0.017481 0.240058 0.015798 0
neur 0.150021 0.017714 0.149714 0.017547 0.135651 0.016035 0
pulse 0.023995 0.004434 0.025363 0.004467 0.019636 0.003765 9.99999999995449e-06
quals 0.048687 0.007308 0.049877 0.007161 0.039717 0.006181 0
reaction 1.145832 0.070065 1.135126 0.069188 1.00783 0.062579 0
sbp 0.076511 0.012234 0.075335 0.012048 0.067745 0.011093 9.99999999995449e-06
snoring 0.005869 0.001204 0.006956 0.001277 0.004852 0.000925 4.99999999999945e-05
hyper 0.205952 0.023563 0.201695 0.023259 0.183108 0.021173 0
