code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.032985 0.003681 0.030661 0.003486 0.062151 0.005028 0.4171
bmi 0.133797 0.005788 0.12204 0.004522 0.250723 0.006988 0.30304
chron 0.059149 0.004985 0.047388 0.00405 0.104362 0.006084 0.40306
ever 0.032148 0.003661 0.038752 0.003666 0.071019 0.005171 0.50411
fvc 0.094377 0.004695 0.10128 0.004558 0.193945 0.006521 0.42529
height 0.256583 0.006228 0.249346 0.005599 0.52156 0.009016 0.89925
imp 0.138479 0.005526 0.135344 0.004635 0.275611 0.007162 0.57035
neur 0.069146 0.006619 0.054938 0.004493 0.114857 0.007002 0.1936
pulse 0.080964 0.004918 0.074481 0.004198 0.154626 0.006362 0.46464
quals 0.082577 0.004153 0.087663 0.004149 0.167693 0.00594 0.3798
reaction 0.035984 0.003806 0.038379 0.003551 0.074578 0.005259 0.51066
sbp 0.084753 0.005489 0.072122 0.004168 0.153766 0.006536 0.37229
snoring 0.035042 0.003886 0.032598 0.003761 0.067003 0.005383 0.46686
hyper 0.054741 0.004473 0.045436 0.003622 0.100253 0.005565 0.50499
