code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.037221 0.003716 0.033105 0.003547 0.070289 0.005131 0.49481
bmi 0.134346 0.005462 0.121845 0.004529 0.256069 0.007221 0.49583
chron 0.056097 0.003966 0.047865 0.003639 0.103896 0.005347 0.49779
ever 0.039247 0.003847 0.040859 0.003617 0.080096 0.005271 0.49957
fvc 0.104975 0.004526 0.100002 0.004105 0.204905 0.005964 0.49933
height 0.269449 0.006006 0.252844 0.005617 0.52209 0.00863 0.49327
imp 0.14924 0.006045 0.135114 0.004602 0.284218 0.007708 0.49489
neur 0.06389 0.004866 0.056017 0.003815 0.119839 0.00621 0.49676
pulse 0.076996 0.004142 0.07311 0.003967 0.150053 0.005786 0.49708
quals 0.08471 0.004223 0.088538 0.004069 0.17323 0.005897 0.49971
reaction 0.03381 0.003946 0.038301 0.003554 0.072118 0.005325 0.50214
sbp 0.087834 0.00604 0.075733 0.003976 0.163467 0.007251 0.4959
snoring 0.032503 0.003606 0.03276 0.003559 0.06525 0.00507 0.50025
hyper 0.067784 0.005304 0.049275 0.003655 0.116936 0.006458 0.49677
