code right_est right_sd left_est left_sd all_est all_sd p_inflation
107 0.013562 0.006312 0.004494 0.004901 0.016865 0.007382 0.45588
106 0.013222 0.006337 0.010687 0.005603 0.018367 0.007578 0.31135
114 0.009209 0.006332 0.006939 0.005265 0.011381 0.007338 0.33228
160 0.032348 0.006565 0.034987 0.006182 0.055001 0.00804 0.15521
161 0.020615 0.006404 0.020773 0.005748 0.033818 0.007716 0.2564
73 0.012339 0.006325 0.002625 0.004604 0.012515 0.007328 0.41105
235 0.013315 0.006376 0.001868 0.004533 0.01016 0.007265 0.31908
117 0.019534 0.006414 0.00784 0.0055 0.023245 0.007658 0.35943
221 0.001761 0.005844 -0.000182 0.004379 0.000315 0.006626 0.44961
145 0.017792 0.006394 0.005463 0.00529 0.019959 0.007575 0.38427
77 0.021621 0.006535 0.020934 0.005822 0.039134 0.007909 0.38766
213 0.011377 0.006335 0.009975 0.005531 0.013356 0.007423 0.2368
115 0.121806 0.007248 0.119184 0.006931 0.191028 0.008645 5.9999999999949e-05
242 0.00433 0.006071 -0.002886 0.004492 0.003024 0.007159 0.55754
134 0.044782 0.006716 0.054942 0.006349 0.081827 0.008191 0.07472
279 0.012958 0.006392 0.016036 0.005802 0.022645 0.007692 0.28875
4 0.080957 0.006981 0.071745 0.006573 0.121376 0.008379 0.00743000000000005
239 0.005928 0.00621 0.0032 0.005296 0.006764 0.00736 0.4174
227 -0.005374 0.005614 -0.004269 0.003984 -0.006745 0.006541 0.62207
