code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.03911 0.002991 0.033804 0.002771 0.074678 0.00406 0.61936
bmi 0.140155 0.003906 0.125058 0.003669 0.263729 0.00495 0.41675
chron 0.060542 0.003263 0.051221 0.003011 0.112884 0.00437 0.56962
ever 0.042251 0.003044 0.041574 0.002855 0.08331 0.004116 0.46587
fvc 0.109942 0.003696 0.10013 0.003454 0.208293 0.00478 0.39861
height 0.283752 0.00449 0.258482 0.004294 0.523988 0.004747 0.00971999999999995
imp 0.147585 0.003933 0.13787 0.003764 0.283699 0.004973 0.40792
neur 0.063075 0.003282 0.053976 0.002988 0.118293 0.004361 0.57758
pulse 0.084205 0.003503 0.077552 0.003275 0.160682 0.004618 0.4362
quals 0.087098 0.003491 0.088675 0.003376 0.171304 0.004626 0.25485
reaction 0.03313 0.00293 0.037828 0.002826 0.073037 0.004068 0.64048
sbp 0.078868 0.003427 0.076978 0.003259 0.155464 0.004579 0.47844
snoring 0.036467 0.003002 0.032862 0.00276 0.068844 0.004026 0.46718
hyper 0.060893 0.003261 0.050252 0.002988 0.111362 0.004341 0.51548
