code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.038715 0.003004 0.035247 0.002793 0.071522 0.004043 0.33409
bmi 0.143161 0.003963 0.126143 0.003722 0.262118 0.004966 0.16435
chron 0.060284 0.003267 0.050814 0.003011 0.110563 0.004369 0.4633
ever 0.046606 0.002989 0.04533 0.002823 0.083177 0.004075 0.0658
fvc 0.123267 0.00372 0.111504 0.003474 0.21163 0.004752 0.000460000000000016
height 0.289697 0.00451 0.263761 0.004333 0.517696 0.004746 0
imp 0.148168 0.003953 0.143625 0.003832 0.282636 0.004991 0.10991
neur 0.059544 0.003267 0.053567 0.003007 0.114421 0.004364 0.5815
pulse 0.082144 0.003499 0.073596 0.003244 0.153334 0.004595 0.35742
quals 0.091875 0.003557 0.091751 0.003423 0.173191 0.004642 0.06091
reaction 0.04606 0.002986 0.050287 0.002927 0.085223 0.004161 0.0293099999999999
sbp 0.076896 0.003433 0.07407 0.003269 0.150133 0.004577 0.44928
snoring 0.035535 0.003013 0.033959 0.002802 0.06716 0.004047 0.34471
hyper 0.060101 0.003289 0.053611 0.003077 0.111788 0.004389 0.37909
