code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.038749 0.002945 0.032377 0.002701 0.069909 0.003945 0.41246
bmi 0.13704 0.003821 0.12104 0.00359 0.256674 0.004848 0.42312
chron 0.056618 0.003149 0.04972 0.002944 0.108722 0.004259 0.65428
ever 0.040625 0.002973 0.040192 0.002799 0.081992 0.00405 0.57975
fvc 0.110807 0.003652 0.099013 0.003394 0.204103 0.004676 0.2036
height 0.281325 0.004434 0.25418 0.004258 0.514758 0.004697 0.00348999999999999
imp 0.143841 0.003843 0.135132 0.003695 0.276145 0.00487 0.34681
neur 0.060009 0.003182 0.053805 0.002945 0.114802 0.00426 0.56432
pulse 0.080706 0.003397 0.073736 0.003186 0.153413 0.004495 0.4398
quals 0.083936 0.003388 0.087626 0.003305 0.166511 0.004506 0.21953
reaction 0.033519 0.00288 0.037769 0.002771 0.073728 0.003998 0.66546
sbp 0.077123 0.003343 0.07507 0.003186 0.152078 0.004469 0.49488
snoring 0.036261 0.002948 0.032145 0.0027 0.066931 0.003943 0.39719
hyper 0.061354 0.003196 0.050384 0.002939 0.111415 0.004256 0.4769
