code right_est right_sd left_est left_sd all_est all_sd p_inflation
awake 0.037451 0.002989 0.035174 0.002797 0.069839 0.00404 0.3142
bmi 0.141948 0.00393 0.124559 0.003697 0.258802 0.004947 0.14665
chron 0.059835 0.00326 0.05083 0.003007 0.108483 0.004353 0.36441
ever 0.047514 0.003003 0.045724 0.002825 0.085014 0.004105 0.07953
fvc 0.124464 0.003705 0.112755 0.003467 0.214283 0.004746 0.00053000000000003
height 0.291237 0.0045 0.260753 0.004325 0.517087 0.004761 0
imp 0.148612 0.003941 0.142351 0.003811 0.281471 0.004986 0.10089
neur 0.059238 0.003255 0.052974 0.003002 0.11284 0.004351 0.54083
pulse 0.08269 0.003492 0.072993 0.00324 0.151983 0.004584 0.28889
quals 0.091567 0.003533 0.092384 0.003401 0.173588 0.004617 0.06109
reaction 0.042569 0.002872 0.046767 0.002823 0.080805 0.004107 0.06851
sbp 0.075247 0.003403 0.074565 0.003267 0.149471 0.004569 0.47836
snoring 0.034325 0.002993 0.033036 0.002783 0.066953 0.004047 0.47034
hyper 0.060964 0.003277 0.054357 0.003076 0.115414 0.004417 0.50818
